model                                             : Test   | Val
ishurdi                                           : 0.4863 | 0.5631
rajshahi                                          : 0.4796 | 0.5427
rangpur                                           : 0.4694 | 0.4733
sydpur                                            : 0.3762 | 0.4196
chuadanga                                         : 0.6956 | 0.5132
jessore                                           : 0.4582 | 0.4830
khulna                                            : 0.5209 | 0.5831
mongla                                            : 0.5245 | 0.5462
satkhira                                          : 0.5083 | 0.5574
barisal                                           : 0.5198 | 0.5353
bhola                                             : 0.4594 | 0.4987
khepupara                                         : 0.5413 | 0.6003
patuakhali                                        : 0.5673 | 0.6033
chandpur                                          : 0.4996 | 0.5311
teknaf                                            : 0.4991 | 0.5622
chittagong                                        : 0.5382 | 0.5373
comilla                                           : 0.4266 | 0.4979
coxsbazar                                         : 0.5711 | 0.5762
feni                                              : 0.4693 | 0.5405
hatiya                                            : 0.5622 | 0.6021
kutubdia                                          : 0.2868 | 0.5790
mcourt                                            : 0.4803 | 0.5286
rangamati                                         : 0.4684 | 0.5190
sandwip                                           : 0.5752 | 0.5858
ambaganctg                                        : 0.4513 | 0.4696
sitakunda                                         : 0.5206 | 0.5339
